prompt_id,category,level,domain,target_smells,syntax_ok,loc,cc_max,mi,ruff_total,undefined_name,unused_var,n_smells,smells_found,target_covered,target_hit,model,lang
data_class_basic_001,data_class,basic,E-commerce,Data Class,1,38,2,100.0,0,0,0,18,Duplicated Code;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_002,data_class,basic,Finance,Data Class,1,47,2,100.0,0,0,0,37,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_003,data_class,basic,Healthcare,Data Class,1,47,2,100.0,0,0,0,35,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_004,data_class,basic,Scientific Computing,Data Class,1,22,2,100.0,0,0,0,13,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_basic_005,data_class,basic,General Software,Data Class,1,9,2,100.0,0,0,0,1,Duplicated Code,1,0,codellama-7b,en
data_class_basic_006,data_class,basic,E-commerce,Data Class,1,38,2,100.0,0,0,0,18,Duplicated Code;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_001,data_class,intermediate,Finance,Data Class,1,78,2,100.0,1,0,0,78,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_intermediate_002,data_class,intermediate,Healthcare,Data Class,1,46,2,100.0,1,0,0,35,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_intermediate_003,data_class,intermediate,Scientific Computing,Data Class,1,83,2,100.0,1,0,0,94,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_004,data_class,intermediate,General Software,Data Class,1,74,2,100.0,1,0,0,89,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_005,data_class,intermediate,E-commerce,Data Class,1,62,2,100.0,1,0,0,63,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_clumps_advanced_001,data_clumps,advanced,Healthcare,Data Clumps,1,37,2,100.0,1,0,0,8,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,0,codellama-7b,en
data_clumps_advanced_002,data_clumps,advanced,Scientific Computing,Data Clumps,1,69,11,70.41,6,0,0,11,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_advanced_003,data_clumps,advanced,General Software,Data Clumps,0,38,0,,3,0,0,27,Duplicated Code;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
data_clumps_advanced_004,data_clumps,advanced,E-commerce,Data Clumps,1,45,1,95.46,1,0,1,9,Comments (as smell indicator);Dead Code;Duplicated Code;Long Method,1,0,codellama-7b,en
data_clumps_advanced_005,data_clumps,advanced,Finance,Data Clumps,1,37,2,100.0,1,0,0,8,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,0,codellama-7b,en
data_clumps_advanced_006,data_clumps,advanced,Healthcare,Data Clumps,1,69,11,70.41,6,0,0,11,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_001,data_clumps,basic,E-commerce,Data Clumps,0,26,0,,3,0,0,6,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
data_clumps_basic_002,data_clumps,basic,Finance,Data Clumps,1,20,1,91.92,0,0,0,6,Data Clumps;Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_003,data_clumps,basic,Healthcare,Data Clumps,1,52,1,80.75,9,5,3,8,Data Clumps;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_004,data_clumps,basic,Scientific Computing,Data Clumps,0,26,0,,3,0,0,5,Duplicated Code;Magic Numbers/Strings,1,0,codellama-7b,en
data_clumps_basic_005,data_clumps,basic,General Software,Data Clumps,0,23,0,,3,0,0,19,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
data_clumps_basic_006,data_clumps,basic,E-commerce,Data Clumps,1,27,1,97.8,0,0,0,14,Comments (as smell indicator);Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
data_clumps_intermediate_001,data_clumps,intermediate,Finance,Data Clumps,1,48,2,51.69,0,0,0,7,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
data_clumps_intermediate_002,data_clumps,intermediate,Healthcare,Data Clumps,1,30,6,78.21,0,0,0,3,Duplicated Code;Long Parameter List;Speculative Generality,1,0,codellama-7b,en
data_clumps_intermediate_003,data_clumps,intermediate,Scientific Computing,Data Clumps,1,18,1,100.0,3,0,0,7,Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_intermediate_004,data_clumps,intermediate,General Software,Data Clumps,1,34,1,94.91,4,0,0,9,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List,1,1,codellama-7b,en
data_clumps_intermediate_005,data_clumps,intermediate,E-commerce,Data Clumps,1,33,1,100.0,6,4,0,7,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_intermediate_006,data_clumps,intermediate,Finance,Data Clumps,1,48,2,51.69,0,0,0,7,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
dead_code_advanced_001,dead_code,advanced,Finance,Dead Code,0,288,0,,2,0,0,734,Duplicated Code,1,0,codellama-7b,en
dead_code_advanced_002,dead_code,advanced,Healthcare,Dead Code,0,38,0,,3,0,0,28,Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
dead_code_advanced_003,dead_code,advanced,Scientific Computing,Dead Code,0,62,0,,2,0,0,12,Duplicated Code,1,0,codellama-7b,en
dead_code_advanced_004,dead_code,advanced,General Software,Dead Code,1,42,0,100.0,1,0,0,13,Comments (as smell indicator);Dead Code;Global State;Magic Numbers/Strings,1,1,codellama-7b,en
dead_code_advanced_005,dead_code,advanced,E-commerce,Dead Code,0,288,0,,2,0,0,734,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_001,dead_code,basic,E-commerce,Dead Code,1,12,2,100.0,0,0,0,4,Duplicated Code;Speculative Generality,1,0,codellama-7b,en
dead_code_basic_002,dead_code,basic,Finance,Dead Code,1,17,2,63.99,0,0,0,3,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_003,dead_code,basic,Healthcare,Dead Code,1,54,7,73.39,4,0,0,8,Comments (as smell indicator);Duplicated Code;Feature Envy;Long Method;Switch Statements,1,0,codellama-7b,en
dead_code_basic_004,dead_code,basic,Scientific Computing,Dead Code,1,18,2,70.42,0,0,0,1,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_005,dead_code,basic,General Software,Dead Code,1,34,4,78.59,0,0,0,8,Duplicated Code;Speculative Generality;Switch Statements,1,0,codellama-7b,en
dead_code_basic_006,dead_code,basic,E-commerce,Dead Code,1,12,2,100.0,0,0,0,4,Duplicated Code;Speculative Generality,1,0,codellama-7b,en
dead_code_intermediate_001,dead_code,intermediate,Finance,Dead Code,0,92,0,,3,0,0,41,Duplicated Code;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
dead_code_intermediate_002,dead_code,intermediate,Healthcare,Dead Code,0,167,0,,4,0,0,255,Deep Nesting;Duplicated Code;Long Parameter List,1,0,codellama-7b,en
dead_code_intermediate_003,dead_code,intermediate,Scientific Computing,Dead Code,0,136,0,,3,0,0,65,Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
dead_code_intermediate_004,dead_code,intermediate,General Software,Dead Code,0,154,0,,4,0,0,0,,1,0,codellama-7b,en
dead_code_intermediate_005,dead_code,intermediate,E-commerce,Dead Code,0,73,0,,2,0,0,6,Deep Nesting;Duplicated Code;Long Method,1,0,codellama-7b,en
deep_nesting_advanced_001,deep_nesting,advanced,Healthcare,Deep Nesting,1,57,49,41.11,50,6,0,3,Deep Nesting;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_advanced_002,deep_nesting,advanced,Scientific Computing,Deep Nesting,1,11,9,100.0,8,0,0,2,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_advanced_003,deep_nesting,advanced,General Software,Deep Nesting,1,10,8,100.0,7,0,0,2,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_advanced_004,deep_nesting,advanced,E-commerce,Deep Nesting,0,42,0,,3,0,0,3,Deep Nesting;Long Method;Long Parameter List,1,1,codellama-7b,en
deep_nesting_advanced_005,deep_nesting,advanced,Finance,Deep Nesting,1,11,9,100.0,7,0,0,1,Deep Nesting,1,1,codellama-7b,en
deep_nesting_advanced_006,deep_nesting,advanced,Healthcare,Deep Nesting,1,57,49,41.11,50,6,0,3,Deep Nesting;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_basic_001,deep_nesting,basic,E-commerce,Deep Nesting,1,47,16,54.52,12,0,0,17,Long Method;Long Parameter List;Magic Numbers/Strings;Switch Statements,1,0,codellama-7b,en
deep_nesting_basic_002,deep_nesting,basic,Finance,Deep Nesting,1,7,5,100.0,3,0,0,0,,1,0,codellama-7b,en
deep_nesting_basic_003,deep_nesting,basic,Healthcare,Deep Nesting,0,11,0,,3,0,0,3,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_basic_004,deep_nesting,basic,Scientific Computing,Deep Nesting,0,18,0,,4,0,0,1,Long Method,1,0,codellama-7b,en
deep_nesting_basic_005,deep_nesting,basic,General Software,Deep Nesting,1,50,17,48.34,5,0,0,2,Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
deep_nesting_basic_006,deep_nesting,basic,E-commerce,Deep Nesting,1,47,16,54.52,12,0,0,17,Long Method;Long Parameter List;Magic Numbers/Strings;Switch Statements,1,0,codellama-7b,en
deep_nesting_intermediate_001,deep_nesting,intermediate,Finance,Deep Nesting,1,28,8,92.27,2,0,0,2,Comments (as smell indicator);Long Method,1,0,codellama-7b,en
deep_nesting_intermediate_002,deep_nesting,intermediate,Healthcare,Deep Nesting,1,16,8,63.41,5,1,0,3,Deep Nesting;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_intermediate_003,deep_nesting,intermediate,Scientific Computing,Deep Nesting,1,30,9,100.0,1,0,0,4,Long Method;Message Chains,1,0,codellama-7b,en
deep_nesting_intermediate_004,deep_nesting,intermediate,General Software,Deep Nesting,0,57,0,,3,0,0,4,Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
deep_nesting_intermediate_005,deep_nesting,intermediate,E-commerce,Deep Nesting,1,47,6,76.11,2,1,0,9,Dead Code;Global State;Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
deep_nesting_intermediate_006,deep_nesting,intermediate,Finance,Deep Nesting,1,28,8,92.27,2,0,0,2,Comments (as smell indicator);Long Method,1,0,codellama-7b,en
duplicated_code_advanced_001,duplicated_code,advanced,General Software,Duplicated Code,1,69,10,67.47,18,0,0,18,Duplicated Code;Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_advanced_002,duplicated_code,advanced,E-commerce,Duplicated Code,0,59,0,,3,0,0,15,Duplicated Code;Long Parameter List,1,1,codellama-7b,en
duplicated_code_advanced_003,duplicated_code,advanced,Finance,Duplicated Code,1,111,2,79.72,3,0,3,56,Data Class;Dead Code;Duplicated Code;Lazy Class;Long Method;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,1,codellama-7b,en
duplicated_code_advanced_004,duplicated_code,advanced,Healthcare,Duplicated Code,1,81,4,52.19,5,0,0,31,Data Class;Dead Code;Deep Nesting;Duplicated Code;Global State;Lazy Class;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_advanced_005,duplicated_code,advanced,Scientific Computing,Duplicated Code,1,66,6,73.25,1,0,0,7,Dead Code;Duplicated Code;Long Method,1,1,codellama-7b,en
duplicated_code_advanced_006,duplicated_code,advanced,General Software,Duplicated Code,1,69,10,67.47,18,0,0,18,Duplicated Code;Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_basic_001,duplicated_code,basic,E-commerce,Duplicated Code,1,10,1,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_002,duplicated_code,basic,Finance,Duplicated Code,1,10,1,68.58,1,0,0,4,Dead Code;Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_003,duplicated_code,basic,Healthcare,Duplicated Code,0,21,0,,3,0,0,1,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_004,duplicated_code,basic,Scientific Computing,Duplicated Code,1,28,2,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_005,duplicated_code,basic,General Software,Duplicated Code,0,51,0,,3,0,0,19,Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_basic_006,duplicated_code,basic,E-commerce,Duplicated Code,0,32,0,,3,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_007,duplicated_code,basic,Finance,Duplicated Code,1,10,1,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_intermediate_001,duplicated_code,intermediate,Healthcare,Duplicated Code,1,50,3,86.35,3,3,0,8,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
duplicated_code_intermediate_002,duplicated_code,intermediate,Scientific Computing,Duplicated Code,0,69,0,,3,0,0,9,Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_intermediate_003,duplicated_code,intermediate,General Software,Duplicated Code,1,152,5,54.03,11,8,0,104,Data Clumps;Dead Code;Duplicated Code;Feature Envy;God Class / Large Class;Long Parameter List;Speculative Generality,1,1,codellama-7b,en
duplicated_code_intermediate_004,duplicated_code,intermediate,E-commerce,Duplicated Code,1,36,2,61.33,0,0,0,7,Duplicated Code;Message Chains,1,1,codellama-7b,en
duplicated_code_intermediate_005,duplicated_code,intermediate,Finance,Duplicated Code,1,89,0,100.0,91,0,0,8,Dead Code,1,0,codellama-7b,en
duplicated_code_intermediate_006,duplicated_code,intermediate,Healthcare,Duplicated Code,1,50,3,86.35,3,3,0,8,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
duplicated_code_intermediate_007,duplicated_code,intermediate,Scientific Computing,Duplicated Code,0,69,0,,3,0,0,9,Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_advanced_001,feature_envy,advanced,Healthcare,Feature Envy,1,23,9,89.37,1,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_advanced_002,feature_envy,advanced,Scientific Computing,Feature Envy,1,71,16,78.39,4,0,0,3,Comments (as smell indicator);Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_advanced_003,feature_envy,advanced,General Software,Feature Envy,1,21,2,100.0,0,0,0,1,Comments (as smell indicator),1,0,codellama-7b,en
feature_envy_advanced_004,feature_envy,advanced,E-commerce,Feature Envy,1,31,2,100.0,1,1,0,4,Comments (as smell indicator);Feature Envy;Long Method;Long Parameter List,1,1,codellama-7b,en
feature_envy_advanced_005,feature_envy,advanced,Finance,Feature Envy,1,35,2,100.0,1,0,1,5,Comments (as smell indicator);Dead Code;Feature Envy;Long Method;Long Parameter List,1,1,codellama-7b,en
feature_envy_advanced_006,feature_envy,advanced,Healthcare,Feature Envy,1,23,9,89.37,1,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_basic_001,feature_envy,basic,E-commerce,Feature Envy,1,3,2,100.0,0,0,0,2,Feature Envy;Lazy Class,1,1,codellama-7b,en
feature_envy_basic_002,feature_envy,basic,Finance,Feature Envy,1,19,3,100.0,0,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_basic_003,feature_envy,basic,Healthcare,Feature Envy,1,11,4,63.42,0,0,0,2,Feature Envy;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_basic_004,feature_envy,basic,Scientific Computing,Feature Envy,1,11,2,100.0,5,1,4,5,Dead Code;Feature Envy,1,1,codellama-7b,en
feature_envy_basic_005,feature_envy,basic,General Software,Feature Envy,1,43,6,87.42,1,0,0,16,Comments (as smell indicator);Duplicated Code;Long Method;Speculative Generality,1,0,codellama-7b,en
feature_envy_basic_006,feature_envy,basic,E-commerce,Feature Envy,1,19,8,71.44,4,0,0,9,Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_intermediate_001,feature_envy,intermediate,Finance,Feature Envy,1,110,4,57.7,2,0,0,61,Dead Code;Duplicated Code;Feature Envy;God Class / Large Class;Long Method,1,1,codellama-7b,en
feature_envy_intermediate_002,feature_envy,intermediate,Healthcare,Feature Envy,1,35,4,90.53,3,3,0,3,Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_intermediate_003,feature_envy,intermediate,Scientific Computing,Feature Envy,1,26,8,100.0,0,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_intermediate_004,feature_envy,intermediate,General Software,Feature Envy,1,154,4,77.31,49,0,47,11,Comments (as smell indicator);Dead Code;Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_intermediate_005,feature_envy,intermediate,E-commerce,Feature Envy,1,14,7,100.0,0,0,0,1,Feature Envy,1,1,codellama-7b,en
feature_envy_intermediate_006,feature_envy,intermediate,Finance,Feature Envy,1,110,4,57.7,2,0,0,61,Dead Code;Duplicated Code;Feature Envy;God Class / Large Class;Long Method,1,1,codellama-7b,en
global_state_advanced_001,global_state,advanced,Finance,Global State,1,160,9,65.63,6,4,0,17,Comments (as smell indicator);Duplicated Code;Global State;Long Method,1,1,codellama-7b,en
global_state_advanced_002,global_state,advanced,Healthcare,Global State,1,78,1,100.0,1,0,0,41,Data Clumps;Duplicated Code;Global State;Long Parameter List,1,1,codellama-7b,en
global_state_advanced_003,global_state,advanced,Scientific Computing,Global State,1,90,1,79.69,22,0,0,50,Dead Code;Duplicated Code;Global State;Long Method,1,1,codellama-7b,en
global_state_advanced_004,global_state,advanced,General Software,Global State,1,103,0,100.0,0,0,0,8,Global State,1,1,codellama-7b,en
global_state_advanced_005,global_state,advanced,E-commerce,Global State,1,160,9,65.63,6,4,0,17,Comments (as smell indicator);Duplicated Code;Global State;Long Method,1,1,codellama-7b,en
global_state_basic_001,global_state,basic,E-commerce,Global State,1,51,1,77.05,11,1,5,28,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_002,global_state,basic,Finance,Global State,1,41,1,83.15,1,0,0,4,Dead Code;Duplicated Code;Long Method,1,0,codellama-7b,en
global_state_basic_003,global_state,basic,Healthcare,Global State,1,26,1,62.15,4,0,0,16,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_004,global_state,basic,Scientific Computing,Global State,1,28,1,94.15,5,0,0,1,Duplicated Code,1,0,codellama-7b,en
global_state_basic_005,global_state,basic,General Software,Global State,1,35,3,57.2,1,1,0,12,Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_006,global_state,basic,E-commerce,Global State,1,51,1,77.05,11,1,5,28,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_intermediate_001,global_state,intermediate,Finance,Global State,0,134,0,,3,0,0,37,Duplicated Code;Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
global_state_intermediate_002,global_state,intermediate,Healthcare,Global State,0,96,0,,3,0,0,92,Duplicated Code;Magic Numbers/Strings,1,0,codellama-7b,en
global_state_intermediate_003,global_state,intermediate,Scientific Computing,Global State,1,50,1,100.0,9,1,0,46,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_intermediate_004,global_state,intermediate,General Software,Global State,1,96,1,100.0,8,0,8,40,Comments (as smell indicator);Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_intermediate_005,global_state,intermediate,E-commerce,Global State,1,63,4,85.98,4,2,0,15,Comments (as smell indicator);Duplicated Code;Global State;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
god_class_advanced_001,god_class,advanced,General Software,God Class / Large Class,1,68,3,46.07,0,0,0,105,Data Clumps;Duplicated Code;God Class / Large Class,1,1,codellama-7b,en
god_class_advanced_002,god_class,advanced,E-commerce,God Class / Large Class,1,24,2,100.0,10,10,0,0,,1,0,codellama-7b,en
god_class_advanced_003,god_class,advanced,Finance,God Class / Large Class,1,72,2,100.0,0,0,0,107,Duplicated Code;God Class / Large Class,1,1,codellama-7b,en
god_class_advanced_004,god_class,advanced,Healthcare,God Class / Large Class,1,42,2,100.0,0,0,0,28,Duplicated Code;God Class / Large Class,1,1,codellama-7b,en
god_class_advanced_005,god_class,advanced,Scientific Computing,God Class / Large Class,1,43,2,100.0,0,0,0,34,Comments (as smell indicator);Duplicated Code;God Class / Large Class;Speculative Generality,1,1,codellama-7b,en
